stop_id,stop_name,route_id,hour,is_weekend,is_raining,is_holiday,peak_period,station_pressure,event_intensity,headway_minutes,occupancy_percent,occupancy_level
SP6,BANDARAYA - UOB,PH,5,0,1,0,0,0,0,11,50.97,3
SP10,PUDU,PH,16,0,1,0,2,0,0,4,58.01,4
SP9,HANG TUAH,PH,12,0,1,0,0,4,0,7,58.99,4
KG21,COCHRANE,MRT,16,0,1,0,2,0,0,5,53.42,3
MR5,IMBI,MR,18,0,0,0,3,0,0,5,61.7,4
PY41,PUTRAJAYA SENTRAL,PYL,17,1,0,0,1,0,0,11,42.65,3
MR10,CHOW KIT,MR,23,0,1,0,0,0,0,14,52.45,3
KJ14,PASAR SENI,KJ,2,0,1,0,0,4,0,15,79.03,4
KJ9,AMPANG PARK,KJ,21,0,0,0,0,0,0,12,47.34,3
KJ17,ABDULLAH HUKUM,KJ,15,0,1,0,0,3,0,8,56.05,3
AG6,BANDARAYA - UOB,AG,4,1,0,0,0,0,0,13,32.93,3
SP16,SUNGAI BESI,PH,19,1,0,0,1,1,0,12,43.39,3
KJ21,ASIA JAYA,KJ,22,0,0,0,0,0,0,16,55.78,3
PY01,KWASA DAMANSARA,PYL,22,0,0,0,0,1,0,10,49.81,3
KG20,TUN RAZAK EXCHANGE,MRT,0,0,0,0,0,4,0,13,65.42,4
PY19,RAJA UDA,PYL,21,0,0,0,0,0,0,15,38.95,3
PY41,PUTRAJAYA SENTRAL,PYL,21,0,0,0,0,0,0,13,42.98,3
AG1,SENTUL TIMUR,AG,21,1,0,0,1,0,0,7,36.91,3
KJ3,WANGSA MAJU,KJ,13,0,1,0,0,2,0,8,50.99,3
PY39,CYBERJAYA UTARA,PYL,5,0,0,0,0,0,0,12,43.59,3
KJ31,USJ 7,KJ,4,1,0,0,0,1,1,11,53.32,3
AG9,HANG TUAH,AG,12,0,1,0,0,4,0,11,67.45,4
PY39,CYBERJAYA UTARA,PYL,16,0,0,0,2,0,0,5,51.33,3
PY01,KWASA DAMANSARA,PYL,18,1,0,0,1,1,0,8,35.85,3
KJ5,SETIAWANGSA,KJ,12,0,0,0,0,0,0,7,30.49,2
AG17,CAHAYA,AG,19,0,0,0,0,0,0,10,39.74,3
KG13,PUSAT BANDAR DAMANSARA,MRT,14,1,0,0,1,0,0,8,27.94,2
PY10,KEPONG BARU,PYL,16,0,0,0,2,0,0,4,43.01,3
KJ5,SETIAWANGSA,KJ,2,0,1,0,0,0,0,12,47.42,3
KJ25,LEMBAH SUBANG,KJ,22,0,0,0,0,0,0,18,56.18,3
SP9,HANG TUAH,PH,5,0,0,0,0,4,0,12,58.46,4
PY23,TUN RAZAK EXCHANGE,PYL,17,0,1,0,2,4,1,7,100.0,5
PY16,SENTUL BARAT,PYL,16,1,0,0,1,0,1,11,51.82,3
PY24,CHAN SOW LIN,PYL,23,0,1,0,0,1,0,15,67.62,4
KJ33,WAWASAN,KJ,4,0,0,0,0,0,0,18,55.57,3
PY33,SERDANG JAYA,PYL,0,0,0,0,0,0,0,11,43.04,3
SP16,SUNGAI BESI,PH,4,0,1,0,0,1,0,18,62.76,4
KJ20,TAMAN JAYA,KJ,19,0,1,0,0,0,0,9,43.57,3
BRT1,SUNWAY-SETIA JAYA,BRT,15,1,0,0,1,0,1,8,36.78,3
PY32,SERDANG RAYA SELATAN,PYL,1,0,0,0,0,0,0,11,41.5,3
KG21,COCHRANE,MRT,12,1,0,0,1,0,1,7,39.68,3
SP12,CHERAS,PH,2,0,1,0,0,0,0,11,52.82,3
KG20,TUN RAZAK EXCHANGE,MRT,20,0,1,0,0,4,1,15,86.54,5
KJ21,ASIA JAYA,KJ,14,1,0,0,1,0,0,7,32.94,3
KJ24,KELANA JAYA,KJ,5,0,0,0,0,0,0,14,48.42,3
PY13,KAMPUNG BATU,PYL,16,1,1,0,1,0,0,8,38.66,3
MR2,TUN SAMBANTHAN,MR,12,0,0,0,0,0,0,10,34.79,3
AG2,SENTUL,AG,18,0,0,1,2,0,0,6,67.4,4
PY04,SUNGAI BULOH,PYL,1,1,0,0,0,0,0,16,41.71,3
PY05,DAMANSARA DAMAI,PYL,0,0,0,0,0,0,0,13,49.42,3
KJ18,KERINCHI,KJ,0,0,0,0,0,0,0,10,38.59,3
KJ11,KAMPUNG BARU - CBP COOPBANK PERTAMA,KJ,15,0,0,0,0,0,0,8,33.43,3
KG30,BATU 11 CHERAS,MRT,19,0,0,0,0,0,1,9,44.11,3
PY33,SERDANG JAYA,PYL,12,0,0,0,0,0,0,9,37.19,3
KJ21,ASIA JAYA,KJ,2,0,0,0,0,0,0,15,49.36,3
PY33,SERDANG JAYA,PYL,17,1,0,0,1,0,0,10,33.22,3
PY41,PUTRAJAYA SENTRAL,PYL,23,0,0,0,0,0,1,12,54.83,3
KG10,TAMAN TUN DR ISMAIL,MRT,20,1,0,0,1,0,0,10,33.97,3
SP12,CHERAS,PH,23,0,0,0,0,0,0,12,47.36,3
KJ30,SS 18,KJ,12,0,1,0,0,0,0,10,49.86,3
SP26,TAMAN PERINDUSTRIAN PUCHONG,PH,19,0,0,0,0,0,0,11,36.93,3
KG24,TAMAN MIDAH,MRT,3,0,0,0,0,0,0,12,41.53,3
KJ15,KL SENTRAL - REDONE,KJ,20,0,0,0,0,4,1,10,75.05,4
PY21,PERSIARAN KLCC,PYL,3,1,0,0,0,3,0,11,48.58,3
MR6,BUKIT BINTANG,MR,17,1,1,0,1,3,2,8,81.78,4
KJ11,KAMPUNG BARU - CBP COOPBANK PERTAMA,KJ,13,1,1,0,1,0,0,7,35.96,3
PY18,HOSPITAL KUALA LUMPUR,PYL,13,1,0,0,1,0,1,10,51.93,3
PY32,SERDANG RAYA SELATAN,PYL,12,0,0,0,0,0,0,10,40.5,3
KJ18,KERINCHI,KJ,21,0,0,0,0,0,0,13,38.15,3
BRT2,MENTARI,BRT,20,1,1,0,1,0,0,12,37.61,3
KG18A,BUKIT BINTANG,MRT,17,1,1,0,1,3,2,10,90.48,5
SP1,SENTUL TIMUR,PH,16,0,1,0,2,0,0,4,56.17,3
SP18,SRI PETALING,PH,15,0,0,0,0,0,0,10,40.13,3
PY07,SRI DAMANSARA SENTRAL,PYL,12,0,0,0,0,0,0,8,37.53,3
PY24,CHAN SOW LIN,PYL,17,0,0,0,3,1,0,4,81.81,4
KG12,PHILEO DAMANSARA,MRT,12,0,0,0,0,0,0,7,28.84,2
PY09,METRO PRIMA,PYL,15,0,1,0,0,0,0,8,47.75,3
KJ5,SETIAWANGSA,KJ,17,0,0,0,3,0,0,4,65.15,4
PY20,AMPANG PARK,PYL,12,0,0,0,0,0,0,7,34.81,3
SP9,HANG TUAH,PH,5,0,1,0,0,4,0,12,62.79,4
PY21,PERSIARAN KLCC,PYL,2,1,0,0,0,3,0,12,50.87,3
KG23,TAMAN PERTAMA,MRT,2,0,0,0,0,0,1,10,50.59,3
KJ32,TAIPAN,KJ,17,0,0,0,3,0,0,3,62.62,4
KJ30,SS 18,KJ,2,0,0,0,0,0,0,15,50.33,3
MR2,TUN SAMBANTHAN,MR,13,1,0,0,1,0,0,11,24.66,2
MR10,CHOW KIT,MR,15,0,1,0,0,0,0,12,48.65,3
KJ23,TAMAN BAHAGIA,KJ,12,1,0,0,1,0,0,9,35.82,3
KJ17,ABDULLAH HUKUM,KJ,3,1,0,0,0,3,0,17,53.1,3
MR5,IMBI,MR,5,1,0,0,0,0,0,13,26.35,2
KJ20,TAMAN JAYA,KJ,21,1,0,0,1,0,0,7,30.57,2
KG29,BANDAR TUN HUSSEIN ONN,MRT,22,0,0,0,0,0,0,11,38.51,3
SP8,PLAZA RAKYAT,PH,14,1,0,0,1,1,0,8,45.24,3
KJ17,ABDULLAH HUKUM,KJ,18,0,0,0,2,3,1,6,82.1,5
KJ9,AMPANG PARK,KJ,15,0,0,0,0,0,0,8,37.96,3
PY41,PUTRAJAYA SENTRAL,PYL,0,0,1,0,0,0,0,15,56.9,3
PY38,16 SIERRA,PYL,20,0,0,0,0,0,0,12,35.39,3
AG12,MIHARJA,AG,12,0,1,0,0,0,1,11,51.32,3
KG12,PHILEO DAMANSARA,MRT,14,0,0,0,0,0,0,10,38.19,3
KJ6,JELATEK,KJ,4,1,0,0,0,0,0,11,28.61,2
BRT1,SUNWAY-SETIA JAYA,BRT,4,0,1,0,0,0,0,14,44.05,3
KJ18,KERINCHI,KJ,12,1,0,0,1,0,0,8,30.16,2
MR5,IMBI,MR,15,1,0,0,1,0,1,10,40.09,3
AG7,MASJID JAMEK,AG,2,1,1,0,0,4,0,11,52.97,3
KG25,TAMAN MUTIARA,MRT,3,0,1,0,0,0,0,14,56.1,3
AG17,CAHAYA,AG,20,1,0,0,1,0,0,7,35.07,3
KJ21,ASIA JAYA,KJ,23,0,1,0,0,0,0,12,54.68,3
KG16,PASAR SENI,MRT,4,1,0,0,0,4,0,16,66.69,4
KJ27,CGC GLENMARIE,KJ,2,0,0,0,0,0,0,14,42.2,3
PY28,TAMAN NAGA EMAS,PYL,3,0,1,0,0,0,0,12,44.44,3
AG15,PANDAN INDAH,AG,22,0,0,0,0,0,0,10,45.2,3
KJ22,TAMAN PARAMOUNT,KJ,4,0,0,0,0,0,0,17,58.96,4
KG27,TAMAN SUNTEX,MRT,16,0,0,0,1,0,1,10,61.08,4
KJ4,SRI RAMPAI,KJ,2,0,1,0,0,0,0,17,53.88,3
PY01,KWASA DAMANSARA,PYL,12,0,0,0,0,1,0,9,40.56,3
PY03,KAMPUNG SELAMAT,PYL,13,0,0,0,0,0,0,11,40.02,3
AG5,SULTAN ISMAIL,AG,13,0,0,0,0,0,0,10,36.8,3
KG34,STADIUM KAJANG,MRT,12,0,0,0,0,2,0,10,51.41,3
SP4,PWTC,PH,22,1,1,0,0,0,0,18,46.48,3
KJ12,DANG WANGI,KJ,2,1,0,0,0,0,0,12,32.58,3
KJ28,SUBANG JAYA,KJ,21,0,0,0,0,0,1,13,50.17,3
KG17,MERDEKA,MRT,23,1,0,0,0,1,0,11,47.84,3
KJ24,KELANA JAYA,KJ,16,1,0,0,1,0,0,7,33.03,3
KJ3,WANGSA MAJU,KJ,14,0,1,0,0,2,0,9,50.72,3
SP10,PUDU,PH,15,0,0,0,0,0,0,12,41.19,3
MR6,BUKIT BINTANG,MR,16,1,0,0,1,3,2,11,77.26,4
SP9,HANG TUAH,PH,14,0,1,0,0,4,1,9,72.7,4
PY12,SRI DELIMA,PYL,13,0,0,0,0,0,0,10,42.31,3
KG20,TUN RAZAK EXCHANGE,MRT,14,0,0,0,0,4,0,10,62.7,4
KJ37,PUTRA HEIGHTS,KJ,12,0,0,0,0,1,0,10,49.92,3
AG18,AMPANG,AG,3,1,0,0,0,0,0,13,39.67,3
PY11,JINJANG,PYL,2,0,1,0,0,0,0,10,38.86,3
AG6,BANDARAYA - UOB,AG,18,0,0,0,2,0,0,7,52.66,3
KG27,TAMAN SUNTEX,MRT,0,0,0,0,0,0,0,15,52.01,3
SP2,SENTUL,PH,22,0,0,0,0,0,0,10,40.59,3
PY19,RAJA UDA,PYL,20,0,0,1,0,0,0,12,48.28,3
KJ3,WANGSA MAJU,KJ,16,0,1,0,1,2,0,8,65.59,4
PY23,TUN RAZAK EXCHANGE,PYL,22,0,0,0,0,4,0,15,71.95,4
MR9,MEDAN TUANKU,MR,5,0,0,0,0,0,0,10,43.31,3
PY29,SUNGAI BESI,PYL,20,1,0,0,1,1,0,9,36.39,3
KG29,BANDAR TUN HUSSEIN ONN,MRT,21,0,0,0,0,0,0,15,47.18,3
SP31,PUTRA HEIGHTS,PH,4,0,0,0,0,1,0,15,65.12,4
BRT6,SOUTH QUAY-USJ 1,BRT,20,0,0,0,0,0,0,12,34.27,3
MR11,TITIWANGSA,MR,13,0,1,0,0,4,0,11,72.07,4
KJ29,SS 15,KJ,19,0,1,0,2,2,1,4,82.14,5
KJ12,DANG WANGI,KJ,17,0,0,0,2,0,0,5,49.14,3
PY41,PUTRAJAYA SENTRAL,PYL,15,1,0,0,1,0,0,11,37.61,3
SP6,BANDARAYA - UOB,PH,18,1,0,0,1,0,0,11,43.04,3
SP14,BANDAR TUN RAZAK,PH,22,0,1,0,0,0,0,14,46.49,3
KG08,MUTIARA DAMANSARA,MRT,4,0,0,0,0,0,0,10,41.75,3
PY41,PUTRAJAYA SENTRAL,PYL,17,0,0,0,3,0,1,5,75.87,4
KG20,TUN RAZAK EXCHANGE,MRT,16,1,1,0,1,4,1,10,81.59,4
KJ25,LEMBAH SUBANG,KJ,18,0,0,0,2,0,1,5,63.79,4
MR2,TUN SAMBANTHAN,MR,18,0,0,0,2,0,0,5,48.29,3
PY16,SENTUL BARAT,PYL,23,0,0,0,0,0,1,10,55.27,3
KJ17,ABDULLAH HUKUM,KJ,23,0,0,0,0,3,0,13,60.33,4
KJ14,PASAR SENI,KJ,1,0,0,0,0,4,0,12,75.88,4
