line_id,hour,is_weekend,is_raining,occupancy_percent,occupancy_level
mrt_kajang,17,0,0,98.84,3
mrt_kajang,8,1,0,64.43,2
mrt_pjy,13,0,0,72.63,2
komuter_utara,16,1,1,35.23,1
mrt_pjy,14,1,0,32.15,1
mrt_kajang,23,1,0,20.84,0
lrt_kj,14,0,0,97.55,3
lrt_kj,17,1,0,62.96,2
mrt_kajang,17,0,0,100.0,3
ets,17,1,0,36.19,1
lrt_kj,7,0,0,100.0,3
monorail,16,1,0,25.73,0
lrt_kj,8,0,0,100.0,3
lrt_ampang,9,0,0,100.0,3
monorail,13,1,1,27.21,0
lrt_ampang,14,1,0,36.1,1
lrt_ampang,11,0,0,76.65,2
lrt_kj,8,0,1,100.0,3
lrt_ampang,18,1,0,62.83,2
lrt_ampang,13,1,0,39.05,1
monorail,18,0,0,73.44,2
mrt_kajang,17,0,0,100.0,3
komuter,8,0,0,55.74,1
lrt_ampang,15,1,0,44.72,1
komuter,19,1,0,55.86,1
lrt_kj,15,1,0,45.5,1
lrt_kj,6,0,1,100.0,3
monorail,17,0,0,73.78,2
mrt_kajang,22,1,0,37.78,1
monorail,18,0,1,89.17,3
lrt_kj,20,0,0,89.2,3
lrt_kj,21,1,1,59.7,1
lrt_kj,17,0,0,100.0,3
mrt_kajang,20,0,0,94.68,3
mrt_kajang,16,0,1,86.82,3
mrt_kajang,14,1,0,46.9,1
lrt_ampang,8,0,0,87.05,3
monorail,18,0,0,62.49,2
lrt_ampang,12,0,0,84.23,2
mrt_kajang,11,1,1,50.22,1
mrt_kajang,12,0,1,91.11,3
mrt_kajang,18,0,0,100.0,3
mrt_kajang,15,1,0,40.83,1
lrt_kj,17,0,1,100.0,3
lrt_ampang,8,1,0,51.43,1
lrt_ampang,11,1,0,41.45,1
lrt_ampang,7,0,0,93.34,3
lrt_ampang,16,0,0,76.04,2
lrt_kj,19,0,0,100.0,3
lrt_ampang,12,0,0,70.3,2
mrt_pjy,7,0,1,97.31,3
mrt_kajang,16,1,1,47.86,1
lrt_kj,12,1,0,41.1,1
lrt_ampang,12,0,0,66.47,2
lrt_kj,17,0,0,100.0,3
mrt_pjy,10,0,0,81.7,2
mrt_kajang,16,1,0,47.2,1
lrt_ampang,19,0,0,100.0,3
lrt_ampang,22,1,0,27.8,0
mrt_kajang,18,0,1,100.0,3
monorail,8,0,0,70.07,2
lrt_kj,18,0,1,100.0,3
mrt_pjy,7,0,0,92.9,3
mrt_kajang,10,0,1,97.81,3
lrt_kj,8,0,1,100.0,3
mrt_kajang,20,0,1,93.17,3
mrt_pjy,8,1,1,47.6,1
monorail,6,0,0,37.1,1
lrt_kj,10,0,1,98.49,3
tebrau,11,1,1,24.16,0
lrt_ampang,10,1,0,37.39,1
lrt_ampang,17,1,0,63.45,2
komuter,9,0,1,78.67,2
mrt_pjy,17,1,1,56.27,1
lrt_ampang,16,0,1,76.4,2
lrt_ampang,17,0,1,100.0,3
mrt_kajang,17,0,0,100.0,3
lrt_ampang,14,1,1,52.67,1
lrt_ampang,15,1,0,33.69,1
mrt_pjy,14,0,0,83.15,2
lrt_ampang,10,0,0,80.42,2
mrt_kajang,12,0,0,68.58,2
lrt_kj,13,0,0,85.83,3
monorail,17,0,0,76.15,2
mrt_kajang,16,0,0,81.86,2
mrt_kajang,22,1,0,43.35,1
mrt_kajang,14,0,0,88.62,3
mrt_pjy,9,0,0,84.81,2
lrt_kj,20,1,1,57.02,1
mrt_kajang,11,0,1,100.0,3
lrt_kj,11,0,0,87.55,3
lrt_ampang,8,0,0,100.0,3
tebrau,22,0,0,49.92,1
lrt_kj,18,0,0,100.0,3
lrt_ampang,7,0,0,99.45,3
lrt_kj,14,0,0,80.58,2
mrt_pjy,17,0,1,95.57,3
lrt_kj,19,0,0,100.0,3
mrt_pjy,16,0,1,75.24,2
lrt_kj,16,1,0,45.33,1
lrt_ampang,13,0,0,66.71,2
ets,17,0,0,54.34,1
mrt_kajang,19,0,1,100.0,3
mrt_pjy,17,0,0,87.11,3
mrt_kajang,11,1,1,57.07,1
lrt_ampang,18,0,0,100.0,3
lrt_kj,19,1,0,63.23,2
mrt_kajang,20,1,0,32.74,1
komuter,17,0,1,78.52,2
mrt_kajang,9,0,0,98.04,3
ets,6,0,0,37.08,1
mrt_kajang,19,0,0,100.0,3
lrt_kj,9,0,1,100.0,3
lrt_kj,19,1,1,76.23,2
lrt_ampang,17,0,0,100.0,3
mrt_pjy,8,0,0,79.25,2
lrt_ampang,16,0,0,74.72,2
mrt_pjy,15,1,0,31.56,1
lrt_ampang,15,0,1,93.9,3
lrt_kj,10,0,0,100.0,3
monorail,13,1,0,28.84,0
mrt_kajang,21,1,1,55.66,1
lrt_ampang,14,0,0,83.65,2
mrt_pjy,7,0,0,80.23,2
lrt_kj,7,0,0,100.0,3
komuter,8,0,0,62.63,2
lrt_kj,19,0,0,100.0,3
lrt_kj,12,0,1,100.0,3
lrt_kj,17,0,0,100.0,3
mrt_pjy,13,0,0,70.46,2
komuter,6,0,0,51.71,1
lrt_ampang,9,0,0,88.94,3
mrt_pjy,16,0,0,66.89,2
mrt_pjy,20,0,0,83.31,2
mrt_pjy,10,0,1,91.73,3
lrt_kj,7,0,0,97.9,3
komuter,17,0,1,83.27,2
monorail,8,0,0,68.55,2
lrt_kj,6,1,1,57.55,1
mrt_pjy,15,1,0,31.08,1
komuter,17,0,1,85.22,3
lrt_ampang,11,1,0,32.69,1
lrt_kj,16,0,1,100.0,3
lrt_kj,18,0,0,100.0,3
lrt_ampang,17,1,0,52.03,1
lrt_ampang,19,0,1,96.29,3
mrt_kajang,14,1,1,58.36,1
monorail,19,0,1,85.4,3
lrt_ampang,23,1,0,34.55,1
mrt_pjy,10,0,0,73.23,2
lrt_kj,13,0,0,93.22,3
lrt_kj,8,0,0,96.83,3
mrt_pjy,18,0,1,100.0,3
lrt_ampang,13,0,0,76.9,2
lrt_kj,14,1,0,43.54,1
lrt_kj,21,1,1,49.1,1
mrt_pjy,10,0,0,52.54,1
mrt_pjy,15,0,0,67.54,2
lrt_ampang,18,1,0,53.52,1
lrt_kj,19,1,0,58.68,1
lrt_ampang,11,1,1,48.58,1
lrt_kj,17,0,1,100.0,3
lrt_kj,8,0,1,100.0,3
lrt_kj,15,0,0,90.94,3
lrt_ampang,14,0,1,88.71,3
lrt_ampang,6,0,0,79.57,2
lrt_kj,12,0,0,90.51,3
tebrau,18,1,0,41.29,1
mrt_pjy,10,0,1,84.27,2
mrt_kajang,20,0,0,79.53,2
ets,7,1,0,32.67,1
lrt_ampang,12,0,1,80.89,2
lrt_kj,13,0,1,100.0,3
mrt_kajang,6,1,0,42.59,1
mrt_kajang,17,1,0,78.9,2
lrt_kj,13,1,0,44.4,1
lrt_kj,16,1,0,40.72,1
lrt_kj,7,0,0,100.0,3
mrt_kajang,8,0,1,100.0,3
mrt_kajang,9,0,0,100.0,3
mrt_kajang,15,1,0,37.72,1
mrt_kajang,16,0,0,91.4,3
lrt_kj,12,0,1,100.0,3
mrt_pjy,12,1,0,37.03,1
mrt_kajang,19,0,1,100.0,3
mrt_kajang,19,1,0,58.9,1
lrt_ampang,9,0,0,93.77,3
lrt_ampang,20,1,0,39.85,1
lrt_kj,9,1,1,69.18,2
tebrau,8,0,0,78.03,2
mrt_pjy,9,1,1,58.74,1
mrt_kajang,18,0,0,100.0,3
monorail,17,0,1,89.23,3
lrt_ampang,23,1,0,25.92,0
lrt_kj,11,0,1,100.0,3
lrt_kj,18,0,1,100.0,3
lrt_ampang,9,1,0,47.09,1
komuter,13,0,1,52.52,1
mrt_kajang,19,0,1,100.0,3
lrt_ampang,17,0,0,99.21,3
lrt_kj,12,1,0,35.23,1
mrt_kajang,7,0,0,100.0,3
mrt_kajang,8,0,0,100.0,3
lrt_kj,23,1,1,22.65,0
mrt_kajang,15,0,0,100.0,3
mrt_kajang,7,0,0,87.76,3
lrt_ampang,18,0,0,100.0,3
lrt_ampang,10,0,0,71.25,2
komuter_utara,19,0,0,68.9,2
mrt_pjy,14,0,1,91.63,3
monorail,8,0,0,56.45,1
lrt_kj,8,0,1,100.0,3
komuter,16,0,0,44.87,1
mrt_pjy,7,0,0,71.75,2
lrt_ampang,20,1,0,41.49,1
komuter,10,0,1,64.04,2
lrt_ampang,14,1,1,54.37,1
monorail,10,0,0,58.68,1
mrt_pjy,12,0,0,70.53,2
mrt_pjy,13,1,0,38.91,1
monorail,15,0,0,53.13,1
