station_id,day_type,hour_of_day,predicted_crowd_level,minutes_until_next_train,is_operating
AG1,Weekday,0,1,-1,False
AG1,Weekday,1,1,-1,False
AG1,Weekday,2,1,-1,False
AG1,Weekday,3,1,-1,False
AG1,Weekday,4,1,-1,False
AG1,Weekday,5,1,-1,False
AG1,Weekday,6,4,0,True
AG1,Weekday,7,5,0,True
AG1,Weekday,8,5,0,True
AG1,Weekday,9,1,0,True
AG1,Weekday,10,1,3,True
AG1,Weekday,11,1,6,True
AG1,Weekday,12,1,2,True
AG1,Weekday,13,1,5,True
AG1,Weekday,14,1,1,True
AG1,Weekday,15,1,4,True
AG1,Weekday,16,1,0,True
AG1,Weekday,17,3,0,True
AG1,Weekday,18,3,0,True
AG1,Weekday,19,3,0,True
AG1,Weekday,20,1,4,True
AG1,Weekday,21,1,0,True
AG1,Weekday,22,1,0,True
AG1,Weekday,23,1,0,True
AG1,Weekend,0,1,-1,False
AG1,Weekend,1,1,-1,False
AG1,Weekend,2,1,-1,False
AG1,Weekend,3,1,-1,False
AG1,Weekend,4,1,-1,False
AG1,Weekend,5,1,-1,False
AG1,Weekend,6,1,0,True
AG1,Weekend,7,1,0,True
AG1,Weekend,8,1,0,True
AG1,Weekend,9,1,0,True
AG1,Weekend,10,2,3,True
AG1,Weekend,11,2,6,True
AG1,Weekend,12,2,2,True
AG1,Weekend,13,2,5,True
AG1,Weekend,14,2,1,True
AG1,Weekend,15,2,4,True
AG1,Weekend,16,2,0,True
AG1,Weekend,17,2,0,True
AG1,Weekend,18,2,0,True
AG1,Weekend,19,2,0,True
AG1,Weekend,20,2,4,True
AG1,Weekend,21,1,0,True
AG1,Weekend,22,1,0,True
AG1,Weekend,23,1,0,True
AG10,Weekday,0,1,-1,False
AG10,Weekday,1,1,-1,False
AG10,Weekday,2,1,-1,False
AG10,Weekday,3,1,-1,False
AG10,Weekday,4,1,-1,False
AG10,Weekday,5,1,-1,False
AG10,Weekday,6,4,0,True
AG10,Weekday,7,5,0,True
AG10,Weekday,8,5,0,True
AG10,Weekday,9,1,0,True
AG10,Weekday,10,1,3,True
AG10,Weekday,11,1,6,True
AG10,Weekday,12,1,2,True
AG10,Weekday,13,1,5,True
AG10,Weekday,14,1,1,True
AG10,Weekday,15,1,4,True
AG10,Weekday,16,1,0,True
AG10,Weekday,17,3,0,True
AG10,Weekday,18,3,0,True
AG10,Weekday,19,3,0,True
AG10,Weekday,20,1,4,True
AG10,Weekday,21,1,0,True
