stop_id,stop_name,stop_lat,stop_lon,route_id,category,count,sequence_order,is_interchange
AG1,SENTUL TIMUR,3.185897,101.695217,AG,LRT,18,1,false
AG10,PUDU,3.134879,101.711957,AG,LRT,9,10,false
AG11,CHAN SOW LIN,3.128105,101.715637,AG,LRT,8,11,true
AG12,MIHARJA,3.120973,101.717922,AG,LRT,7,12,false
AG13,MALURI,3.12329,101.727283,AG,LRT,6,13,true
AG14,PANDAN JAYA,3.130141,101.739122,AG,LRT,5,14,false
AG15,PANDAN INDAH,3.134581,101.746509,AG,LRT,4,15,false
AG16,CEMPAKA,3.138324,101.752979,AG,LRT,3,16,false
AG17,CAHAYA,3.140575,101.756677,AG,LRT,2,17,false
AG18,AMPANG,3.150318,101.760049,AG,LRT,1,18,false
AG2,SENTUL,3.178484,101.695542,AG,LRT,17,2,false
AG3,TITIWANGSA,3.173497,101.695367,AG,LRT,16,3,true
AG4,PWTC,3.166333,101.693586,AG,LRT,15,4,false
AG5,SULTAN ISMAIL,3.161245,101.694109,AG,LRT,14,5,false
AG6,BANDARAYA - UOB,3.155567,101.694485,AG,LRT,13,6,false
AG7,MASJID JAMEK,3.14927,101.696377,AG,LRT,12,7,true
AG8,PLAZA RAKYAT,3.144049,101.702105,AG,LRT,11,8,true
AG9,HANG TUAH,3.140012,101.705984,AG,LRT,10,9,true
BRT1,SUNWAY-SETIA JAYA,3.0828,101.6123,BRT,BRT,161,1,false
BRT2,MENTARI,3.0761,101.6101,BRT,BRT,162,2,false
BRT3,SUNWAY LAGOON,3.0706,101.6107,BRT,BRT,163,3,false
BRT4,SUNMED,3.0656,101.6087,BRT,BRT,164,4,false
BRT5,SunU-Monash,3.0654,101.6016,BRT,BRT,165,5,false
BRT6,SOUTH QUAY-USJ 1,3.0617,101.5969,BRT,BRT,166,6,false
BRT7,USJ7,3.0553,101.5919,BRT,BRT,167,7,true
KG04,KWASA DAMANSARA,3.176146,101.572052,MRT,MRT,85,4,true
KG05,KWASA SENTRAL,3.170112,101.564651,MRT,MRT,86,5,false
KG06,KOTA DAMANSARA,3.150134,101.57869,MRT,MRT,87,6,false
KG07,SURIAN,3.14948,101.593925,MRT,MRT,88,7,false
KG08,MUTIARA DAMANSARA,3.155301,101.609077,MRT,MRT,89,8,false
KG09,BANDAR UTAMA,3.14671,101.618599,MRT,MRT,90,9,false
KG10,TAMAN TUN DR ISMAIL,3.13613,101.630539,MRT,MRT,91,10,false
KG12,PHILEO DAMANSARA,3.129864,101.642471,MRT,MRT,92,12,false
KG13,PUSAT BANDAR DAMANSARA,3.143444,101.662857,MRT,MRT,93,13,false
KG14,SEMANTAN,3.150977,101.665497,MRT,MRT,94,14,false
KG15,MUZIUM NEGARA,3.137317,101.687336,MRT,MRT,95,15,false
KG16,PASAR SENI,3.142293265,101.6955642,MRT,MRT,96,16,true
KG17,MERDEKA,3.141969,101.70205,MRT,MRT,97,17,true
KG18A,BUKIT BINTANG,3.146503,101.710947,MRT,MRT,98,18,true
KG20,TUN RAZAK EXCHANGE,3.142403,101.720156,MRT,MRT,99,20,true
KG21,COCHRANE,3.132829,101.722962,MRT,MRT,100,21,false
KG22,MALURI,3.123623,101.727809,MRT,MRT,101,22,true
KG23,TAMAN PERTAMA,3.112547,101.729371,MRT,MRT,102,23,false
KG24,TAMAN MIDAH,3.104505,101.732186,MRT,MRT,103,24,false
KG25,TAMAN MUTIARA,3.090989,101.740453,MRT,MRT,104,25,false
KG26,TAMAN CONNAUGHT,3.079172,101.74522,MRT,MRT,105,26,false
KG27,TAMAN SUNTEX,3.071578,101.763552,MRT,MRT,106,27,false
KG28,SRI RAYA,3.062273,101.772899,MRT,MRT,107,28,false
KG29,BANDAR TUN HUSSEIN ONN,3.048223,101.775109,MRT,MRT,108,29,false
KG30,BATU 11 CHERAS,3.041339,101.773383,MRT,MRT,109,30,false
KG31,BUKIT DUKUNG,3.026413,101.771072,MRT,MRT,110,31,false
KG33,SUNGAI JERNIH,3.000948,101.783857,MRT,MRT,111,33,false
KG34,STADIUM KAJANG,2.994514,101.786338,MRT,MRT,112,34,false
KG35,KAJANG,2.982778,101.790278,MRT,MRT,113,35,false
KJ1,GOMBAK,3.231793,101.724427,KJ,LRT,55,1,false
KJ10,KLCC,3.158935,101.713287,KJ,LRT,46,10,false
KJ11,KAMPUNG BARU - CBP COOPBANK PERTAMA,3.161386,101.706608,KJ,LRT,45,11,false
KJ12,DANG WANGI,3.156942,101.701975,KJ,LRT,44,12,false
KJ13,MASJID JAMEK,3.149714,101.696815,KJ,LRT,43,13,true
KJ14,PASAR SENI,3.142439,101.69531,KJ,LRT,42,14,true
KJ15,KL SENTRAL - REDONE,3.13442,101.68625,KJ,LRT,41,15,true
KJ16,BANK RAKYAT BANGSAR,3.127588,101.679062,KJ,LRT,40,16,false
KJ17,ABDULLAH HUKUM,3.118735,101.672897,KJ,LRT,39,17,false
KJ18,KERINCHI,3.115506,101.668572,KJ,LRT,38,18,false
KJ19,UNIVERSITI,3.114616,101.661639,KJ,LRT,37,19,false
KJ2,TAMAN MELATI,3.219558,101.72197,KJ,LRT,54,2,false
KJ20,TAMAN JAYA,3.104086,101.645248,KJ,LRT,36,20,false
KJ21,ASIA JAYA,3.104343,101.637695,KJ,LRT,35,21,false
KJ22,TAMAN PARAMOUNT,3.104716,101.623192,KJ,LRT,34,22,false
KJ23,TAMAN BAHAGIA,3.11079,101.612856,KJ,LRT,33,23,false
KJ24,KELANA JAYA,3.112497,101.6043,KJ,LRT,32,24,false
KJ25,LEMBAH SUBANG,3.112094,101.591034,KJ,LRT,31,25,false
KJ26,ARA DAMANSARA,3.108643,101.586372,KJ,LRT,30,26,false
KJ27,CGC GLENMARIE,3.094732,101.590622,KJ,LRT,29,27,false
KJ28,SUBANG JAYA,3.08466,101.588127,KJ,LRT,28,28,false
KJ29,SS 15,3.075972,101.585983,KJ,LRT,27,29,false
KJ3,WANGSA MAJU,3.205751,101.731796,KJ,LRT,53,3,false
KJ30,SS 18,3.067182,101.585945,KJ,LRT,26,30,false
KJ31,USJ 7,3.054956,101.592194,KJ,LRT,25,31,true
KJ32,TAIPAN,3.04815,101.590233,KJ,LRT,24,32,false
KJ33,WAWASAN,3.035062,101.588348,KJ,LRT,23,33,false
KJ34,USJ 21,3.029881,101.581711,KJ,LRT,22,34,false
KJ35,ALAM MEGAH,3.023151,101.572029,KJ,LRT,21,35,false
KJ36,SUBANG ALAM,3.009421,101.572281,KJ,LRT,20,36,false
KJ37,PUTRA HEIGHTS,2.996227,101.575462,KJ,LRT,19,37,true
KJ4,SRI RAMPAI,3.199176,101.73747,KJ,LRT,52,4,false
KJ5,SETIAWANGSA,3.17576,101.73584,KJ,LRT,51,5,false
KJ6,JELATEK,3.167204,101.735344,KJ,LRT,50,6,false
KJ7,DATO' KERAMAT,3.16509,101.73184,KJ,LRT,49,7,false
KJ8,DAMAI,3.164406,101.724489,KJ,LRT,48,8,false
KJ9,AMPANG PARK,3.159894,101.719017,KJ,LRT,47,9,false
MR1,KL SENTRAL,3.132852,101.687817,MR,MR,150,1,true
MR10,CHOW KIT,3.167358,101.698379,MR,MR,159,10,false
MR11,TITIWANGSA,3.173192,101.696022,MR,MR,160,11,true
MR2,TUN SAMBANTHAN,3.13132,101.69085,MR,MR,151,2,false
MR3,MAHARAJALELA,3.138743,101.699268,MR,MR,152,3,false
MR4,HANG TUAH,3.140511,101.706029,MR,MR,153,4,true
MR5,IMBI,3.14283,101.70945,MR,MR,154,5,false
MR6,BUKIT BINTANG,3.146022,101.7115,MR,MR,155,6,true
MR7,RAJA CHULAN,3.150878,101.710432,MR,MR,156,7,false
MR8,BUKIT NANAS,3.156214,101.704809,MR,MR,157,8,false
MR9,MEDAN TUANKU,3.15935,101.69888,MR,MR,158,9,false
PY01,KWASA DAMANSARA,3.1763324,101.5721456,PYL,MRT,114,1,true
PY03,KAMPUNG SELAMAT,3.197266,101.578499,PYL,MRT,115,3,false
PY04,SUNGAI BULOH,3.206429,101.581779,PYL,MRT,116,4,false
